id,phase,title,depends_on,relative_size,implementation_scope,acceptance,status
Q00,0,Map current code and relevant audit prerequisites,,S,Inspect actual HEAD and update feature map; retain existing features; identify only prerequisites needed by this project.,Baseline commit recorded; ownership/reward/lifecycle blockers mapped; texture hashes saved.,Done
Q01,0,Record interaction and crowded-board baselines,Q00,M,Five representative action tasks; deterministic four-seat fixture; performance and human observation forms.,"Gesture counts and measured results recorded, or explicitly unmeasured; environment documented.",Done
Q02,1,Create shared action descriptions and dispatch bindings,Q00,M,Start with six tutorial verbs and existing handlers; supply menus/help/palette through one catalogue.,No duplicate authority path; target availability and labels agree across entry points.,Done
Q03,1,Expose rebindable shortcuts and contextual help,Q02,M,"Loader key registration, common dispatcher, text-focus precedence and current-binding labels.",Rebinding updates prompts; chat/search typing cannot trigger gameplay actions; both loaders tested.,Done
Q04,1,Extend versioned client preferences,Q00,M,"Scales, motion, sounds, tutorial and bounded favorites; preserve theme and old config.",Restart/migration/malformed-file tests pass; no disk write per render or slider tick.,Done
Q05,1,Add exact operation feedback and reconciliation contract,Q00;Q02,L,Pending/confirmed/failed/unknown states keyed to operation and session; reuse corrected network paths.,Mismatched/untagged results cannot finish another operation; timeout cannot duplicate a mutation.,"Done - both waiting screens mint, resolve and render through it; the overdue state is what they lacked"
Q06,2,Replace the server practice session with a local demonstration,Q00;Q02,L,"Local in-memory board built on the pure core fold; no server session, seat, block or saved flag. Retire the old practice path and migrate saves that hold one.",No packet leaves the client for any tutorial action; owned property cannot reach the board because the board cannot hold any; legacy practice saves clean up idempotently.,In progress - overlay implemented and isolated; retirement and save migration not started
Q07,2,Implement six-step optional tutorial on the local board,Q03;Q04;Q05;Q06,M,"Pure state machine plus small overlay; local sample-state transitions and local inspect evidence; skip/review/restart, restart after exhaustion.",All six steps work with remapped controls and alternate gestures; refused actions do not advance; restart works after the sample library is empty.,Implemented on the local board - 8 in-world tests; remapped controls and graphical behavior unverified
Q08,2,Validate first-game usability,Q07,M,Script real controls and run newcomer walkthrough; offline/warm-cache and slow-service cases.,External instructions unnecessary in observed session; missing human/cache evidence disclosed.,Not started for the replacement - the scripted client has not been run since the overlay landed
Q09,3,Add contextual searchable action palette,Q02;Q03,M,"Translated names/aliases, target summary, keyboard navigation and discoverable menu entry.",Same action behavior as menus; text focus safe; no hidden card data in search.,Done
