id,priority,evidence,task,primary_files,dependencies,implementation_scope,acceptance_checks,expected_benefit_and_line_count,risk,status
CL-01,First,Confirmed client defect,Preserve newer card state when applying Tidy,common/src/main/java/dev/gathering/client/TableScreen.java; core/src/main/java/dev/gathering/core/ui/ArrangeSelection.java,None,Compare preview source state; include server preconditions for race protection,Rotation remains 90 after stale preview; zone changes preserved; test position/attachment/session interleavings,Correctness; no meaningful line reduction,Medium,Done - a Spot carries no angle; applied with the rotation the card has now; attached cards skipped
CL-02,First,Confirmed client defect,Keep enlarged menus reachable inside the viewport,common/src/main/java/dev/gathering/client/ContextMenu.java; common/src/main/java/dev/gathering/client/GuiText.java,None,Bound both dimensions; accessible scrolling or paging; shared measured/rendered text metrics,200% text and 75% controls; bounds fit; last item clickable; keyboard; resize; long translation,Accessibility; no line reduction target,Low-medium,"Done - MenuFit in core solves text, controls and window together; tested at the audit's viewport across every pair of sizes"
CL-03,High,Source plus core benchmark and baseline bulk GameTest,Batch bounded bulk actions and cache audience-safe snapshots,common/src/main/java/dev/gathering/server/TableActions.java; common/src/main/java/dev/gathering/server/TableBroadcast.java; common/src/main/java/dev/gathering/client/TableScreen.java,CL-01 before batching Tidy,One explicit bulk operation; per-card validation/history; final snapshot per recipient; public encoding reuse,Equivalent state/log/refusals/undo; server bounds; fewer view builds; privacy checks on audience changes,Highest measured redundant-work reduction; code may initially grow,High,"Done - selection verbs go as one TableActionsPayload; the server applies each move through the same per-move method as a single action (every gate, refusal and seat/deck bookkeeping), shows the table once at the end, and when a move ends the game shows that board and settles before looking at the next. Bounded server-side at BulkLimit.MOST_AT_ONCE and 512 bytes per move. Spectators share one public view per broadcast. Protocol version 3. Four guards shown to fail against mutants. Live-server timing not measured"
CL-04,High,Source plus core benchmark,Suppress unchanged ambient board and pot delivery,common/src/main/java/dev/gathering/block/TableBlockEntity.java; common/src/main/java/dev/gathering/server/TableBroadcast.java,Coordinate snapshot revisions with CL-03,Track last sent public revision and audience lifecycle; cache public bytes,New/returning spectator sees current view; stale board/pot clears; bounded tracking; 2/4/16 tables,Less idle server/network work; no line target,Medium-high,"Done for the board - a quiet table sends nothing after its first push (measured 5 per 200 ticks -> 0), and both a changed board and a newly arrived spectator still get one. The pot was already change-driven"
CL-05a,High,Measured narrow equivalent prototype,Parse collection query once per request,core/src/main/java/dev/gathering/core/collection/CollectionSearch.java,None,Compile query once; avoid repeated parsing inside row matching,All filters/sorts and unknown metadata unchanged; 1k/10k benchmark,Contained allocation and latency improvement,Low,"Done - the typed query is compiled once per request rather than per row; measured here 5.893 ms -> 2.141 ms at 10k rows, equivalence tested against row-by-row matching across twelve queries"
CL-05b,High,Source-backed proposal,Reuse ordered collection results between pages,common/src/main/java/dev/gathering/server/CollectionView.java; core/src/main/java/dev/gathering/core/collection/CollectionSearch.java,CL-05a,Bounded revision-aware result cache and sort keys,Invalidate on collection/metadata/pocket changes; player isolation; live mutation authorization,Faster repeated pages; additional cache code justified by measurement,Medium,"Done - each player keeps their last ordered answer, reused only when the box (by identity and count revision), their pockets, the card service and its generation, and the question are all unchanged; bounded to 64 players, least recent first, forgotten on disconnect. Seven game tests, one per input plus the saving; the six safety tests were shown to fail against a cache keyed on the box position alone"
CL-06,Medium-high,Source plus stack-depth benchmark,Cache derived board presentation and card lookup,common/src/main/java/dev/gathering/client/TableScreen.java; common/src/main/java/dev/gathering/client/TableMiniatureRenderer.java; core/src/main/java/dev/gathering/core/ui/TableStacking.java,CL-02; coordinate with CL-10,Build filtered-view geometry/attachments/ID lookup once per relevant revision,Crowded board hit/layering parity; private data isolation; resize/camera invalidation; unchanged-frame allocations,Less repeated rendering work; consolidates duplicated derived data,Medium-high,"Done - BoardPresentation (core) holds piles, attachments and cards-by-id per view, kept by identity; both the seated screen and the block renderer use it. Piles are one grid pass with exactly the pairwise semantics (property-tested against the plain walk, and shown to fail with the neighbour cells removed). Rectangles stay per frame. Visible change: the block no longer counts an attached card at its own spot, matching the seated board - graphically unverified"
CL-07,Later; profile first,Source plus immutable-copy benchmark,Freeze state once per logical event where safe,core/src/main/java/dev/gathering/core/game/GameState.java; core/src/main/java/dev/gathering/core/game/GameFold.java,Measure after CL-03 and CL-05,Scoped builder or safe internal immutable sharing; retain public defensive copies,Old snapshots unchanged; restore/refold/undo equivalence; zone/attachment invariants; fewer allocations,Potentially less copying; retain architecture and tests,High,"Done after profiling - 128 ordinary events (64 taps, 64 moves) measured at 400 and 1,600 cards before changing anything: 2.40 ms/8.70 MB and 6.65 ms/32.23 MB. States now share maps the previous state owns immutably (FrozenMap) instead of copying every map on every transition; caller-supplied maps are still copied. After: 1.81 ms/3.95 MB and 3.09 ms/14.64 MB. The whole core suite passes unchanged; FrozenMapTest checks earlier states stand still, nothing handed out is writable, callers maps are copied (shown to fail when adopted), and order is kept. No location index added"
CL-08,High,Measured release JAR contents,Separate dev scenes and GameTests from releases,common/src/main/java/dev/gathering/client/DevScene.java; common/src/main/java/dev/gathering/client/ClientTicks.java; neoforge/build.gradle; fabric/build.gradle,CL-13 gate should guard test discovery,Development/test source sets and explicit dev hook; split scenario files,Both release clients and dedicated servers boot without dev classes; JAR inspection; nonzero GameTests,"About 431 KB current compressed NeoForge dev/test contents; moves ~25,921 lines rather than deleting them",Medium,Partial - the 69 NeoForge game-test files moved to a gametest source set mirroring :fabric's testmod; the jar now carries 0 test classes and all 402 still run. DevScene is NOT moved: ClientTicks hard-references it and rewiring that cannot be verified without a display
CL-09,Medium,Source/call-site review,Move retired practice creation into test fixtures,common/src/main/java/dev/gathering/server/PracticeTable.java,CL-08 helpful; preserve current tutorial fixes,Remove production dependency on legacy creation while retaining migration/retirement,Legacy saves retire safely; deck conservation; old START harmless; realistic migration fixtures,Small actual production reduction; not entire class deletion,Medium,"Done - creation moved to a gametest fixture (LegacyPracticeTables); production keeps retire, the STOP/START answers, isPracticeAt and the demonstration seat. STOP before the first tick now retires rather than discarding a real held deck (reproduced at 0 copies, fixed). The per-learner disconnect map went with creation; the reviewer probe waits for the ticker instead and was shown to fail with the ticker disabled"
