ID,Priority,Finding,Source locations,Trigger,Regression guards,Fix direction,Evidence and limits
TN-01,P1,Overflowing score poisons outbound views,core/src/main/java/dev/gathering/core/tournament/MatchResult.java:17; common/src/main/java/dev/gathering/server/events/EventViews.java:75; common/src/main/java/dev/gathering/network/EventViewPayload.java:80,Registered participant; crafted numeric report,rejectsOverflowingScore; malformedReportMustNotPoisonOutboundView,Bound each field and use overflow-safe totals; reject invalid input; recover poisoned saves,Core constructor + production action and response codec; no socket-disconnect test
TN-02,P1,Old event cancellation destroys a newer game,common/src/main/java/dev/gathering/server/events/Events.java:450; common/src/main/java/dev/gathering/server/events/Events.java:594,Original event host; repeat CANCEL after table reuse,cancellingAnOldEventMustNotEndANewMatch,Finalize once on a real transition; validate current event/round table ownership,Production CANCEL destroyed an unrelated active event session
TN-03,P1,Failed prize save consumes the deposit,common/src/main/java/dev/gathering/server/events/EventPrizes.java:53; common/src/main/java/dev/gathering/server/events/EventStore.java:59; common/src/main/java/dev/gathering/server/events/Events.java:918,Host deposits a prize during save failure,failedPrizeSaveMustNotConsumeTheItem,Acknowledged recoverable custody transfers; handle failed deposits and payouts,Injected atomic-replacement failure; three diamonds removed despite failed save
TN-04,P1,Self-withdrawal can strand a complete round,common/src/main/java/dev/gathering/server/events/Events.java:275,Player drops from last unresolved pairing,withdrawingTheLastMatchMustAdvanceTheRound,Central completion handling after all result mutations,340 ticks with confirmed pairing and no advancement
TN-05,P1,Inter-round restart loses advancement,common/src/main/java/dev/gathering/server/events/Events.java:608; common/src/main/java/dev/gathering/server/events/Events.java:720; common/src/main/java/dev/gathering/server/ServerState.java:35,Restart during 15-second inter-round delay,completedRoundMustResumeAfterReload,Persist/derive pending transitions; restore once; reconcile absent players,Saved-state round trip with callback removed; not a two-process restart
TN-06,P1,Old pool accepted as current tournament allocation,common/src/main/java/dev/gathering/server/events/Events.java:361; common/src/main/java/dev/gathering/server/PodEvents.java:160; common/src/main/java/dev/gathering/server/DraftActions.java:108,Entrant retains a pool from the same coordinates,oldPoolCannotReadyANewUnopenedEvent,Server ledger keyed by event/pod UUID and entrant; require completed allocation,READY accepted coordinate-matching pool before event opening; metadata unresolved in fixture
TN-07,P2,Start now skips an unfinished pod,common/src/main/java/dev/gathering/server/events/Events.java:410; common/src/main/java/dev/gathering/server/events/Events.java:478,Host presses Start now during signup/draft,startNowCannotSkipAnUnfinishedPod,Explicit preparation substates; preflight splitting and game startup,Entered SWISS with signup still blocking session
TN-08,P2,Venue splits only its first table cluster,common/src/main/java/dev/gathering/server/events/Events.java:486,Eight entrants; two rows of two touching tables,everyVenueClusterMustSplitBeforePairing,Prepare every unique cluster; verify one independent session per pairing,BEGIN left second row joined
TN-09,P2,Dropped opponent causes incorrect pairing and bye,core/src/main/java/dev/gathering/core/tournament/SwissPairer.java:42; core/src/main/java/dev/gathering/core/tournament/Standings.java:60,Drop after a confirmed match,byeSelectionRetainsResultsAgainstDroppedOpponents,Compute complete historical standings before filtering active players,Wrong bye: winning B instead of winless D
TN-10,P2,Opponent report reversed for viewer,common/src/main/java/dev/gathering/server/events/EventViews.java:157; common/src/main/java/dev/gathering/client/EventScreen.java:316,Opponent reports an asymmetric score,opponentsReportMustUseTheViewersPerspective,Convert normalized reports to receiver perspective exactly once,REPORT produces 1-2 where receiver should read 2-1
